Incident Date,Incident Time,FlightID,Aircraft,Altitude,Airport,Laser Color,Injury,City,State
1-Dec-23,2150,N595JM,SR22,2000,A90,Green,No,Merrimack,New Hampshire
1-Dec-23,1726,N295JD,SLG2,Unk,TOA,Unk,No,Torrance,California
1-Dec-23,0620,EAGLE1,R66,1600,ONT,Green,No,Ontario,California
1-Dec-23,2325,CNS5,PC24,10000,CAE,Green,No,Columbia,South Carolina
1-Dec-23,0020,N463FA,P28A,3000,RDG,Green,No,Reading,Pennsylvania
1-Dec-23,0048,N9758C,P28A,4500,A90,Green,No,Merrimack,New Hampshire
1-Dec-23,0605,LN652AE,HELO,1500,FTW,Green,No,Fort Wayne,Indiana
1-Dec-23,0202,N865PC,FA50,12000,PHL,Green,No,Philadelphia,Pennsylvania
1-Dec-23,0154,SKW4760,E75L,35000,ZMP,Green,No,Dodge Center,Minnesota
1-Dec-23,0314,RPA4649,E75L,4000,SDF,Green,No,Louisville,Kentucky
1-Dec-23,0348,SKW5589,E75L,11000,FAR,Green,No,Fargo ,North Dakota
1-Dec-23,0222,SKW4031,E175,1500,PSC,Green,No,Pasco,Washington
1-Dec-23,0300,SKW4031,E175,1500,PSC,Green,No,Pasco,Washington
1-Dec-23,0132,LTA6630,DA40,2000,IND,Green,No,Indianapolis,Indiana
1-Dec-23,0200,MTU94,DA40,4000,BNA,Green,No,Nashville,Tennessee
1-Dec-23,0020,JIA5103,CRJ9,20000,ZNY,Green,No,Ronkonkoma,New York
1-Dec-23,0020,JIA5103,CRJ9,20000,ZNY,Green,No,Ronkonkoma,New York
1-Dec-23,0150,SKW3666,CRJ9,1000,ZJX,Green,No,Hillard,Florida
1-Dec-23,0057,C2310,CN35,2500,MOB,Green,No,Mobile,Alabama
1-Dec-23,0519,N175SP,C414,5000,ZJX,Green,No,Hillard,Florida
1-Dec-23,0110,N177TG,C177,3000,ABE,Green,No,Allentown,Pennsylvania
1-Dec-23,0115,5227E,C172,3000,VGT,Green,No,Las Vegas,Nevada
1-Dec-23,0302,N737PM,C172,1800,EMT,Blue,No,El Monte,California
1-Dec-23,0401,N1181M,C172,2500,NCT,Green,No,Mather,California
1-Dec-23,0532,N5513L,C172,1200,LGB,Green,No,Long Beach,California
1-Dec-23,2344,N308SP,C172,2500,ADS,Green,No,Dallas,Texas
1-Dec-23,0012,N31075,BE36,9000,PWM,White,No,Portland,Maine
1-Dec-23,0619,N203DH,BE20,12000,A11,Green,No,Anchorage,Alaska
1-Dec-23,0439,AAL1903,B757,34000,ZTL,Green,No,Hampton,Georgia
1-Dec-23,0505,UAL2626,B757,11000,PCT,Green,No,Warrenton,Virginia
1-Dec-23,0025,UAL1069,B753,Unk,C90,Unk,No,Elgin,Illinois
1-Dec-23,0047,SWA393,B738,12000,ZNY,Green,No,Ronkonkoma,New York
1-Dec-23,0144,AAL1270,B738,34000,ZJX,Green,No,Hillard,Florida
1-Dec-23,0154,SWA3024,B737,2000,HOU,Green,No,Houston,Texas
1-Dec-23,0346,SWA2280,B737,10000,D01,Green,No,Denver,Colorado
1-Dec-23,0547,UAL217,B737,8000,N90,Green,No,Westbury,New York
1-Dec-23,0517,SWA1673,B38M,11000,SCT,Green,No,San Diego,California
1-Dec-23,0345,AAL778,A321,6000,P50,Green,No,Phoenix,Arizona
1-Dec-23,0543,AAL2446,A321,3000,NCT,Green,No,Mather,California
1-Dec-23,2327,AAL312,A321,2000,PBI,Green,No,West Palm Beach,Florida
1-Dec-23,0545,JBU1033,A320,2000,SJU,Green,No,San Juan,Puerto Rico
1-Dec-23,0556,UPS609,A306,6000,PHL,Green,No,Philadelphia,Pennsylvania
1-Dec-23,0724,FDX153,A306,5000,IND,Green,No,Indianapolis,Indiana
1-Dec-23,0312,NKS1456,A20N,7000,NCT,Green,No,Mather,California
2-Dec-23,0546,N700FP,TBM7,10000,NCT,Green,No,Mather,California
2-Dec-23,0154,N953MB,SR22,1100,TOA,Green,No,Torrance,California
2-Dec-23,0005,N98HH,SR22,Unk,MYR,Unk,No,Myrtle Beach,South Carolina
2-Dec-23,0126,N295JD,SLG2,1500,TOA,Green,No,Torrance,California
2-Dec-23,0341,NIT254,P28A,1200,AGS,Green,No,Augusta,Georgia
2-Dec-23,0121,N744HJ,HELO,1000,SAN,Green,No,San Diego,California
2-Dec-23,0153,RPA5605,E75S,2000,BOS,Green,No,Boston,Massachusetts
2-Dec-23,0131,SKW4837,E75L,2500,AUS,Green,No,Austin,Texas
2-Dec-23,0252,SKW4112,E75L,1200,SEA,Green,No,Seattle,Washington
2-Dec-23,0507,SKW5012,E75L,33000,ZAB,Green,No,Albuquerque,New Mexico
2-Dec-23,0509,SKW3410,E75L,32000,ZLA,Green,No,Palmsdale,California
2-Dec-23,0037,RPA3687,E75L,19000,ZOB,Green,No,Oberlin,Ohio
2-Dec-23,0111,JTZ807,E55P,3000,SNA,Green,No,Santa Ana,California
2-Dec-23,2235,NTW479,E55P,2000,GRB,Unk,No,Green Bay,Wisconsin
2-Dec-23,0042,JBU1418,E190,17000,BOS,Green,No,Boston,Massachusetts
2-Dec-23,0134,ENY4157,E170,10000,LIT,Green,No,Little Rock,Arkansas
2-Dec-23,0511,RVF503,DH8A,8300,ZAN,Green,No,Anchorage,Alaska
2-Dec-23,0258,N98ME,DA62,7000,JAX,Green,No,Jacksonville,Florida
2-Dec-23,0857,N913DA,DA40,6000,P50,Green,No,Phoenix,Arizona
2-Dec-23,0030,EDV4917,CRJ9,6000,BGR,Blue,No,Bangor,Maine
2-Dec-23,0127,SKW5048,CRJ2,14000,D01,Green,No,Denver,Colorado
2-Dec-23,2351,EJA220,CL60,4000,D10,Green,No,Dallas-Fort Worth,Texas
